compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
syringaldehyde,7467,Syringaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2-methoxybenzaldehyde,7468,2-Methoxybenzaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
butyl_benzoate,7469,Butyl_Benzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methylbenzenethiol,7470,2-Methylbenzenethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-1-butanol,7471,2-Methyl-1-Butanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_lactate,7472,Butyl_Lactate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
beta-terpineol,7473,Beta-Terpineol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,4-dihydroxybenzaldehyde",7474,"3,4-Dihydroxybenzaldehyde",aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
benzyl_acetate,7475,Benzyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
phenylethyl_isovalerate,7476,Phenylethyl_isovalerate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
estragole,7477,Estragole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_acrylate,7478,Ethyl_Acrylate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellyl_propionate,7479,Citronellyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellyl_butyrate,7480,Citronellyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellol,7481,Citronellol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_acetate,7482,Ethyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
mesityl_oxide,7483,Mesityl_Oxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hydroxycitronellal_dimethyl_acetal,7484,Hydroxycitronellal_dimethyl_acetal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_acetoacetate,7485,ethyl_acetoacetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexanoic_acid,7486,Hexanoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
heptane,7487,Heptane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_palmitate,7488,Isopropyl_Palmitate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
