compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
2-methylpentanoic_acid,7295,2-Methylpentanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ethyl_isobutyrate,7296,Ethyl_Isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_lactate,7297,Ethyl_Lactate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_isobutyrate,7298,Isobutyl_isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
butyl_isobutyrate,7299,Butyl_isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylbutanal,7300,2-Ethylbutanal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetrahydrofurfuryl_alcohol,7301,Tetrahydrofurfuryl_Alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
furfuryl_alcohol,7302,Furfuryl_Alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2-furaldehyde,7303,2-Furaldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
furfuryl_mercaptan,7304,Furfuryl_mercaptan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
thiophene-2-carbaldehyde,7305,Thiophene-2-carbaldehyde,aromatic,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
4-tert-butylphenol,7306,4-tert-Butylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-phenylethanol,7307,1-Phenylethanol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
acetophenone,7308,Acetophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
carveol,7309,Carveol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carvone,8677,Carvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_4-hydroxybenzoate,7311,Methyl_4-hydroxybenzoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
p-menthane,7312,p-Menthane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-phellandrene,7313,Alpha-Phellandrene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gamma-terpinene,7314,Gamma-Terpinene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-terpinene,7315,Alpha-Terpinene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p-cymene,7316,P-Cymene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-isopropylphenol,7317,4-Isopropylphenol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4'-hydroxyacetophenone,7318,4'-Hydroxyacetophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4'-methoxyacetophenone,7319,4'-Methoxyacetophenone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-methoxybenzoic_acid,7320,4-Methoxybenzoic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
styrene,7321,Styrene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_mercaptan,7322,Benzyl_Mercaptan,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
anisole,7323,Anisole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
thioanisole,7324,Thioanisole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylpyridine,7325,2-Ethylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-methyl-1-phenyl-2-propanol,7326,2-Methyl-1-phenyl-2-propanol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methyl_phenylacetate,7327,Methyl_Phenylacetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
diphenyl_oxide,7328,Diphenyl_oxide,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ethyl_phenylacetate,7329,Ethyl_Phenylacetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102-19-2,7330,102-19-2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_3-phenylpropionate,7331,Methyl_3-phenylpropionate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
benzyl_isobutyrate,7332,Benzyl_isobutyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_butyrate,7333,Benzyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_isovalerate,7334,Benzyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
phenethyl_acetate,7335,Phenethyl_acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phenethyl_isobutyrate,7336,Phenethyl_isobutyrate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
benzyl_ether,7337,Benzyl_ether,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
phenethyl_butyrate,7338,Phenethyl_butyrate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103-61-7,7339,103-61-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methoxybenzyl_acetate,7340,4-Methoxybenzyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
104-50-7,7341,104-50-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-phenylpropanal,7342,3-Phenylpropanal,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
benzyl_formate,7343,Benzyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-nonanolactone,7344,gamma-Nonanolactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-phenylethyl_formate,7345,2-Phenylethyl_formate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gamma-undecalactone,7346,Gamma-undecalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethylhexan-1-ol,7347,2-Ethylhexan-1-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
p-tolualdehyde,7348,p-Tolualdehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5-ethyl-2-methylpyridine,7349,5-Ethyl-2-methylpyridine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methylanisole,7350,4-Methylanisole,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methoxybenzyl_alcohol,7351,4-Methoxybenzyl_Alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
gamma-heptalactone,7352,gamma-Heptalactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_propionate,7353,Ethyl_Propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-methylvaleric_acid,7354,3-Methylvaleric_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
diethyl_malonate,7355,Diethyl_Malonate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_butyrate,7356,Ethyl_Butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acetal,7357,Acetal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_butyrate,7358,Propyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoamyl_propionate,7359,Isoamyl_propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobutyl_hexanoate,7360,Isobutyl_hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellyl_formate,7361,Citronellyl_formate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,7-dimethyl-1-octanol",7362,"3,7-Dimethyl-1-octanol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
citronellal,7363,Citronellal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoamyl_butyrate,7364,Isoamyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_heptanoate,7365,Ethyl_Heptanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_octanoate,7366,Ethyl_Octanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_dodecanoate,7367,Ethyl_dodecanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-heptanone,7368,3-Heptanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_propionate,7369,Propyl_Propionate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
p-xylene,7370,P-Xylene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
dimethyl_succinate,7371,Dimethyl_Succinate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_hexanoate,7372,Methyl_Hexanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
methyl_heptanoate,7373,Methyl_Heptanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acrolein,7374,Acrolein,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-propanethiol,7375,1-Propanethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propylamine,7376,Propylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
allyl_alcohol,7377,Allyl_Alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydroxycitronellal,7378,Hydroxycitronellal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isoamylamine,7379,Isoamylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-pentanone,7380,2-Pentanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,3-butanediol",7381,"1,3-Butanediol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methyl-2-pentanone,7382,4-Methyl-2-pentanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopropyl_acetate,7383,Isopropyl_Acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acetic_anhydride,7384,Acetic_Anhydride,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gamma-valerolactone,7385,gamma-Valerolactone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
m-xylene,7386,M-Xylene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
