node_id,name,id,node_type,is_hub,cleaned_name
120,amaretto_liqueur,,ingredient,no_hub,amaretto_liqueur
121,amarula_cream_liqueur,,ingredient,no_hub,amarula_cream_liqueur
122,amber_beer,,ingredient,no_hub,amber_beer
123,amber_rum,,ingredient,no_hub,amber_rum
124,amchoor_powder,,ingredient,no_hub,amchoor
125,amchur_powder,,ingredient,no_hub,amchur
126,american_cheese,,ingredient,no_hub,american_cheese
127,amish_starter,,ingredient,no_hub,amish_starter
128,ammonia,,ingredient,no_hub,ammonia
129,anaheim_chili,,ingredient,no_hub,anaheim_chili
130,anaheim_chilies,,ingredient,no_hub,anaheim_chilies
131,anasazi_bean,,ingredient,no_hub,anasazi_bean
132,ancho_chili,,ingredient,no_hub,ancho_chili
133,ancho_chilies,,ingredient,no_hub,ancho_chilies
134,anchovies_packed_in_oil,,ingredient,no_hub,anchovies_packed_in
135,anchovy,,ingredient,hub,anchovy
136,anchovy_fillet,,ingredient,no_hub,anchovy_fillet
137,anchovy_paste,,ingredient,no_hub,anchovy
138,andes_mints_candy,,ingredient,no_hub,andes_mints_candy
139,andouille_sausage,,ingredient,no_hub,andouille_sausage
140,anejo_cheese,,ingredient,no_hub,anejo_cheese
141,angel_flake_coconut,,ingredient,no_hub,angel_flake_coconut
142,angel_food_cake,,ingredient,no_hub,angel_food_cake
143,angel_food_cake_mix,,ingredient,no_hub,angel_food_cake
144,angel_hair_pasta,,ingredient,no_hub,angel_hair_pasta
145,angelica,,ingredient,hub,angelica
146,angostura_bitter,,ingredient,no_hub,angostura_bitter
147,animal_cracker,,ingredient,no_hub,animal_cracker
148,anise,,ingredient,hub,anise
149,anise_extract,,ingredient,no_hub,anise
150,anise_flavored_liqueur,,ingredient,no_hub,anise_flavored_liqueur
151,anise_flavoring,,ingredient,no_hub,anise_flavoring
152,anise_oil,,ingredient,no_hub,anise
153,anise_seed,,ingredient,no_hub,anise_seed
154,anisette,,ingredient,no_hub,anisette
155,anjou_pear,,ingredient,no_hub,anjou_pear
156,annatto_oil,,ingredient,no_hub,annatto
157,annatto_seed,,ingredient,no_hub,annatto_seed
158,apple,,ingredient,hub,apple
159,apple_brandy,,ingredient,hub,apple_brandy
